"","c","residuals","flow","flow_difference","temperature_difference","photoperiod","lunar_phase","hatchery","logLik","AICc","num.param","num.iter","converged","deltaAICc"
"gradient70"," resid flow flow_diff lunar_phase",1,1,1,0,0,1,0,-1203.97,2524.59,55,40,TRUE,27.39
"gradient47"," flow temp_diff flow_diff",0,1,1,1,0,0,0,-1205.3,2524.99,54,39,TRUE,27.79
"gradient59"," temp_diff flow_diff lunar_phase",0,0,1,1,0,1,0,-1205.68,2525.75,54,35,TRUE,28.55
"gradient48"," flow temp_diff lunar_phase",0,1,0,1,0,1,0,-1205.81,2526.01,54,35,TRUE,28.82
"gradient57"," photoperiod flow_diff chinook0_hatchery_perhour_inp",0,0,1,0,1,0,1,-1205.2,2527.04,55,62,TRUE,29.84
"gradient89"," flow temp_diff flow_diff lunar_phase",0,1,1,1,0,1,0,-1205.29,2527.23,55,39,TRUE,30.03
"gradient21"," photoperiod chinook0_hatchery_perhour_inp",0,0,0,0,1,0,1,-1206.47,2527.34,54,61,TRUE,30.14
"gradient87"," flow photoperiod flow_diff chinook0_hatchery_perhour_inp",0,1,1,0,1,0,1,-1204.84,2528.57,56,58,TRUE,31.37
"gradient46"," flow photoperiod chinook0_hatchery_perhour_inp",0,1,0,0,1,0,1,-1206.08,2528.81,55,61,TRUE,31.61
"gradient96"," photoperiod flow_diff lunar_phase chinook0_hatchery_perhour_inp",0,0,1,0,1,1,1,-1205.17,2529.23,56,60,TRUE,32.03
"gradient58"," photoperiod lunar_phase chinook0_hatchery_perhour_inp",0,0,0,0,1,1,1,-1206.34,2529.31,55,53,TRUE,32.11
"gradient2"," photoperiod",0,0,0,0,1,0,0,-1209.72,2529.36,52,29,TRUE,32.16
"gradient19"," photoperiod flow_diff",0,0,1,0,1,0,0,-1208.72,2529.59,53,39,TRUE,32.39
"gradient116"," flow photoperiod flow_diff lunar_phase chinook0_hatchery_perhour_inp",0,1,1,0,1,1,1,-1204.83,2530.79,57,55,TRUE,33.59
"gradient88"," flow photoperiod lunar_phase chinook0_hatchery_perhour_inp",0,1,0,0,1,1,1,-1205.98,2530.86,56,68,TRUE,33.66
"gradient13"," flow photoperiod",0,1,0,0,1,0,0,-1209.7,2531.54,53,37,TRUE,34.35
"gradient20"," photoperiod lunar_phase",0,0,0,0,1,1,0,-1209.72,2531.59,53,37,TRUE,34.39
"gradient56"," photoperiod flow_diff lunar_phase",0,0,1,0,1,1,0,-1208.7,2531.8,54,37,TRUE,34.6
"gradient44"," flow photoperiod flow_diff",0,1,1,0,1,0,0,-1208.7,2531.8,54,33,TRUE,34.6
"gradient45"," flow photoperiod lunar_phase",0,1,0,0,1,1,0,-1209.69,2533.78,54,37,TRUE,36.58
"gradient86"," flow photoperiod flow_diff lunar_phase",0,1,1,0,1,1,0,-1208.69,2534.01,55,38,TRUE,36.81
"gradient6"," chinook0_hatchery_perhour_inp",0,0,0,0,0,0,1,-1212.96,2538.07,53,31,TRUE,40.87
"gradient26"," flow_diff chinook0_hatchery_perhour_inp",0,0,1,0,0,0,1,-1212.1,2538.58,54,32,TRUE,41.39
"gradient27"," lunar_phase chinook0_hatchery_perhour_inp",0,0,0,0,0,1,1,-1212.91,2540.21,54,34,TRUE,43.01
"gradient17"," flow chinook0_hatchery_perhour_inp",0,1,0,0,0,0,1,-1212.91,2540.22,54,41,TRUE,43.02
"gradient51"," flow flow_diff chinook0_hatchery_perhour_inp",0,1,1,0,0,0,1,-1212.07,2540.77,55,43,TRUE,43.57
"gradient62"," flow_diff lunar_phase chinook0_hatchery_perhour_inp",0,0,1,0,0,1,1,-1212.09,2540.82,55,36,TRUE,43.62
"gradient127","no covariates",0,0,0,0,0,0,0,-1216.84,2541.37,51,26,TRUE,44.17
"gradient52"," flow lunar_phase chinook0_hatchery_perhour_inp",0,1,0,0,0,1,1,-1212.87,2542.38,55,34,TRUE,45.18
"gradient4"," flow_diff",0,0,1,0,0,0,0,-1216.41,2542.74,52,27,TRUE,45.54
"gradient92"," flow flow_diff lunar_phase chinook0_hatchery_perhour_inp",0,1,1,0,0,1,1,-1212.06,2543.01,56,36,TRUE,45.81
"gradient1"," flow",0,1,0,0,0,0,0,-1216.81,2543.55,52,26,TRUE,46.35
"gradient5"," lunar_phase",0,0,0,0,0,1,0,-1216.82,2543.57,52,27,TRUE,46.37
"gradient15"," flow flow_diff",0,1,1,0,0,0,0,-1216.37,2544.89,53,28,TRUE,47.69
"gradient25"," flow_diff lunar_phase",0,0,1,0,0,1,0,-1216.41,2544.97,53,27,TRUE,47.77
"gradient16"," flow lunar_phase",0,1,0,0,0,1,0,-1216.79,2545.74,53,28,TRUE,48.54
"gradient50"," flow flow_diff lunar_phase",0,1,1,0,0,1,0,-1216.37,2547.13,54,26,TRUE,49.93
