"c","residuals","flow","flow_difference","temperature_difference","photoperiod","lunar_phase","hatchery","logLik","AICc","num.param","num.iter","converged","deltaAICc","rel.LL","weights","cumulative_weights"
" resid photoperiod temp_diff flow_diff lunar_phase chinook0_hatchery_perhour_inp",1,0,1,1,1,1,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.99
" flow photoperiod temp_diff flow_diff lunar_phase chinook0_hatchery_perhour_inp",0,1,1,1,1,1,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,1
" resid flow photoperiod temp_diff flow_diff lunar_phase chinook0_hatchery_perhour_inp",1,1,1,1,1,1,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,1
" photoperiod flow_diff lunar_phase",0,0,1,0,1,1,0,-474.170413588426,983.990422864184,17,31,TRUE,8.91767960044081,0.01,0,1
" flow photoperiod lunar_phase",0,1,0,0,1,1,0,-474.287498578174,984.224592843679,17,29,TRUE,9.15184957993529,0.01,0,1
" flow flow_diff",0,1,1,0,0,0,0,-476.092118766651,985.6466031247,16,29,TRUE,10.5738598609569,0.01,0,1
" flow lunar_phase",0,1,0,0,0,1,0,-476.117244302088,985.696854195573,16,32,TRUE,10.6241109318296,0,0,1
" flow_diff lunar_phase",0,0,1,0,0,1,0,-476.192188315264,985.846742221925,16,30,TRUE,10.773998958182,0,0,1
" flow photoperiod flow_diff lunar_phase",0,1,1,0,1,1,0,-474.060946614091,985.97054187683,18,32,TRUE,10.8977986130867,0,0,1
" flow flow_diff lunar_phase",0,1,1,0,0,1,0,-476.01024998924,987.670095665812,17,33,TRUE,12.5973524020691,0,0,1
