"c","photoperiod","photoperiod_difference","temperature_difference","flow","flow_difference","lunar_phase","hatchery","logLik","AICc","num.param","num.iter","converged","deltaAICc","rel.LL","weights","cumulative_weights"
" photoperiod flow lunar_phase flow_diff",1,0,0,1,1,1,0,-2037.15713822897,4149.94821021738,37,111,TRUE,98.69,0,0,1
" flow flow_diff",0,0,0,1,1,0,0,-2039.4739201481,4150.4104055893,35,80,TRUE,99.15,0,0,1
" flow lunar_phase flow_diff",0,0,0,1,1,1,0,-2038.87535410853,4151.29774654459,36,98,TRUE,100.04,0,0,1
" photo_diff photoperiod flow chinook0_hatchery_perhour_interpolate",1,1,0,1,0,0,1,-2038.24145937127,4154.2061745565,38,111,TRUE,102.95,0,0,1
" photo_diff photoperiod flow lunar_phase chinook0_hatchery_perhour_interpolate",1,1,0,1,0,1,1,-2037.47559647596,4154.76620167793,39,124,TRUE,103.51,0,0,1
" photoperiod flow chinook0_hatchery_perhour_interpolate",1,0,0,1,0,0,1,-2039.77354622517,4155.18102620978,37,106,TRUE,103.92,0,0,1
" photoperiod flow lunar_phase chinook0_hatchery_perhour_interpolate",1,0,0,1,0,1,1,-2038.97675178201,4155.67675937798,38,97,TRUE,104.42,0,0,1
" photo_diff flow chinook0_hatchery_perhour_interpolate",0,1,0,1,0,0,1,-2040.93087737525,4157.49568850994,37,104,TRUE,106.24,0,0,1
" photo_diff flow lunar_phase chinook0_hatchery_perhour_interpolate",0,1,0,1,0,1,1,-2040.21946181992,4158.16217945379,38,121,TRUE,106.9,0,0,1
" photo_diff flow",0,1,0,1,0,0,0,-2043.79427178367,4159.05110886043,35,102,TRUE,107.79,0,0,1
" flow_diff chinook0_hatchery_perhour_interpolate",0,0,0,0,1,0,1,-2043.06331979907,4159.67367792567,36,100,TRUE,108.41,0,0,1
" lunar_phase flow_diff chinook0_hatchery_perhour_interpolate",0,0,0,0,1,1,1,-2042.14770670151,4159.92934716246,37,104,TRUE,108.67,0,0,1
" photo_diff flow lunar_phase",0,1,0,1,0,1,0,-2043.3405837696,4160.22820586673,36,92,TRUE,108.97,0,0,1
" photo_diff photoperiod flow",1,1,0,1,0,0,0,-2043.4085897646,4160.36421785673,36,99,TRUE,109.1,0,0,1
" photo_diff photoperiod chinook0_hatchery_perhour_interpolate",1,1,0,0,0,0,1,-2042.79831740865,4161.23056857673,37,98,TRUE,109.97,0,0,1
" photo_diff photoperiod flow lunar_phase",1,1,0,1,0,1,0,-2042.9858468352,4161.60562742984,37,101,TRUE,110.35,0,0,1
" photo_diff photoperiod lunar_phase chinook0_hatchery_perhour_interpolate",1,1,0,0,0,1,1,-2042.10536394389,4161.93398370173,38,114,TRUE,110.67,0,0,1
" photo_diff chinook0_hatchery_perhour_interpolate",0,1,0,0,0,0,1,-2044.74363508769,4163.0343085029,36,90,TRUE,111.78,0,0,1
" photo_diff lunar_phase chinook0_hatchery_perhour_interpolate",0,1,0,0,0,1,1,-2044.0923228945,4163.81857954845,37,104,TRUE,112.56,0,0,1
" photoperiod flow",1,0,0,1,0,0,0,-2047.47405380652,4166.41067290613,35,86,TRUE,115.15,0,0,1
" photo_diff",0,1,0,0,0,0,0,-2048.60891147078,4166.5983333824,34,77,TRUE,115.34,0,0,1
" photoperiod flow_diff",1,0,0,0,1,0,0,-2047.73546398091,4166.93349325492,35,76,TRUE,115.67,0,0,1
" flow chinook0_hatchery_perhour_interpolate",0,0,0,1,0,0,1,-2047.06703496727,4167.68110826207,36,95,TRUE,116.42,0,0,1
" photoperiod flow lunar_phase",1,0,0,1,0,1,0,-2047.09583256282,4167.73870345317,36,103,TRUE,116.48,0,0,1
" photo_diff lunar_phase",0,1,0,0,0,1,0,-2048.23924603576,4167.94105736461,35,94,TRUE,116.68,0,0,1
" flow lunar_phase chinook0_hatchery_perhour_interpolate",0,0,0,1,0,1,1,-2046.31724727052,4168.26842830048,37,86,TRUE,117.01,0,0,1
" photoperiod lunar_phase flow_diff",1,0,0,0,1,1,0,-2047.37269086058,4168.2924200487,36,87,TRUE,117.03,0,0,1
" photo_diff photoperiod",1,1,0,0,0,0,0,-2048.53844561251,4168.53945651812,35,95,TRUE,117.28,0,0,1
" flow_diff",0,0,0,0,1,0,0,-2050.11400207083,4169.60851458249,34,68,TRUE,118.35,0,0,1
" photo_diff photoperiod lunar_phase",1,1,0,0,0,1,0,-2048.18167447674,4169.91038728101,36,94,TRUE,118.65,0,0,1
" flow",0,0,0,1,0,0,0,-2050.46923964006,4170.31898972096,34,79,TRUE,119.06,0,0,1
" lunar_phase flow_diff",0,0,0,0,1,1,0,-2049.68169101412,4170.82594732133,35,85,TRUE,119.57,0,0,1
" photoperiod chinook0_hatchery_perhour_interpolate",1,0,0,0,0,0,1,-2048.83377668842,4171.21459170437,36,94,TRUE,119.96,0,0,1
" flow lunar_phase",0,0,0,1,0,1,0,-2050.0102835922,4171.4831324775,35,80,TRUE,120.22,0,0,1
" photoperiod lunar_phase chinook0_hatchery_perhour_interpolate",1,0,0,0,0,1,1,-2048.12798281118,4171.8898993818,37,89,TRUE,120.63,0,0,1
" chinook0_hatchery_perhour_interpolate",0,0,0,0,0,0,1,-2058.9600945108,4189.3827543147,35,83,TRUE,138.12,0,0,1
" lunar_phase chinook0_hatchery_perhour_interpolate",0,0,0,0,0,1,1,-2058.32139219596,4190.18982271946,36,91,TRUE,138.93,0,0,1
" photoperiod",1,0,0,0,0,0,0,-2061.15306856359,4191.68664756801,34,78,TRUE,140.43,0,0,1
" photoperiod lunar_phase",1,0,0,0,0,1,0,-2060.93217855281,4193.32692239872,35,95,TRUE,142.07,0,0,1
"none",0,0,0,0,0,0,0,-2065.22478672326,4197.75044301173,33,61,TRUE,146.49,0,0,1
" lunar_phase",0,0,0,0,0,1,0,-2064.93680493236,4199.25412030556,34,67,TRUE,147.99,0,0,1
