"c","photoperiod","photo_difference","temperature_difference","flow","flow_difference","lunar_phase","hatchery","logLik","AICc","num.param","num.iter","converged","delta_aicc","deltaAICc","rel.LL","weights","cumulative_weights"
" temp_diff flow flow_diff",0,0,1,1,1,0,0,-1341.36435164258,2755.32664142949,35,103,TRUE,18.28,18.2758649622424,0,0,1
" photoperiod photo_diff temp_diff lunar_phase coho1_hatchery_perhour_interpolate",1,1,1,0,0,1,1,-1338.48972693378,2756.04460381586,38,150,TRUE,18.99,18.9938273486123,0,0,1
" photoperiod photo_diff temp_diff lunar_phase",1,1,1,0,0,1,0,-1340.91796723024,2756.58516046667,36,140,TRUE,19.53,19.5343839994216,0,0,1
" temp_diff flow flow_diff coho1_hatchery_perhour_interpolate",0,0,1,1,1,0,1,-1339.95165100908,2756.80826069585,37,108,TRUE,19.76,19.7574842286067,0,0,1
" photo_diff temp_diff flow flow_diff",0,1,1,1,1,0,0,-1341.17594718019,2757.10112036656,36,100,TRUE,20.05,20.050343899321,0,0,1
" flow flow_diff",0,0,0,1,1,0,0,-1343.47992316747,2757.41092769437,34,87,TRUE,20.36,20.3601512271212,0,0,1
" temp_diff flow lunar_phase flow_diff",0,0,1,1,1,1,0,-1341.34696750658,2757.44316101935,36,93,TRUE,20.39,20.392384552104,0,0,1
" photo_diff temp_diff flow flow_diff coho1_hatchery_perhour_interpolate",0,1,1,1,1,0,1,-1339.52827854283,2758.12170703396,38,125,TRUE,21.07,21.0709305667183,0,0,1
" flow flow_diff coho1_hatchery_perhour_interpolate",0,0,0,1,1,0,1,-1341.83661144654,2758.42244889926,36,99,TRUE,21.37,21.3716724320202,0,0,1
" temp_diff flow lunar_phase flow_diff coho1_hatchery_perhour_interpolate",0,0,1,1,1,1,1,-1339.93308827862,2758.93132650553,38,118,TRUE,21.88,21.880550038285,0,0,1
" photo_diff temp_diff flow lunar_phase flow_diff",0,1,1,1,1,1,0,-1341.15127244459,2759.20750356687,37,132,TRUE,22.16,22.1567270996261,0,0,1
" flow lunar_phase flow_diff",0,0,0,1,1,1,0,-1343.46883578977,2759.53560972387,35,81,TRUE,22.48,22.4848332566262,0,0,1
" photo_diff flow flow_diff",0,1,0,1,1,0,0,-1343.47845900717,2759.55485615866,35,101,TRUE,22.5,22.5040796914204,0,0,1
" photo_diff temp_diff flow lunar_phase flow_diff coho1_hatchery_perhour_interpolate",0,1,1,1,1,1,1,-1339.49323784763,2760.21628935987,39,111,TRUE,23.17,23.1655128926218,0,0,1
" photo_diff flow flow_diff coho1_hatchery_perhour_interpolate",0,1,0,1,1,0,1,-1341.71048289692,2760.32592447152,37,125,TRUE,23.28,23.275148004278,0,0,1
" flow lunar_phase flow_diff coho1_hatchery_perhour_interpolate",0,0,0,1,1,1,1,-1341.82342777676,2760.55181423121,37,115,TRUE,23.5,23.5010377639633,0,0,1
" photo_diff flow lunar_phase flow_diff",0,1,0,1,1,1,0,-1343.46716181647,2761.68354963912,36,133,TRUE,24.63,24.6327731718789,0,0,1
