"","c","atu","photoperiod","flow","lunar_phase","flow_difference","temp_difference","hatchery","logLik","AICc","num.param","num.iter","converged","deltaAICc","rel.LL","weights","cumulative_weights"
"gradient70"," atu_day flow_day flow_diff_day temp_diff_day",1,0,1,0,1,1,0,-2222.46,4524.61,39,38,TRUE,18.48,0,0,1
"gradient67"," atu_day flow_day lunar_phase_day flow_diff_day",1,0,1,1,1,0,0,-2223.4,4526.49,39,54,TRUE,20.37,0,0,1
"gradient104"," atu_day flow_day lunar_phase_day flow_diff_day temp_diff_day",1,0,1,1,1,1,0,-2222.4,4526.59,40,54,TRUE,20.46,0,0,1
"gradient77"," atu_day photoperiod_day flow_diff_day coho1_hatchery_perhour_day",1,1,0,0,1,0,1,-2222.75,4527.28,40,40,TRUE,21.15,0,0,1
"gradient111"," atu_day photoperiod_day flow_diff_day temp_diff_day coho1_hatchery_perhour_day",1,1,0,0,1,1,1,-2221.94,4527.76,41,47,TRUE,21.63,0,0,1
"gradient109"," atu_day photoperiod_day lunar_phase_day flow_diff_day coho1_hatchery_perhour_day",1,1,0,1,1,0,1,-2222.6,4529.07,41,49,TRUE,22.94,0,0,1
"gradient124"," atu_day photoperiod_day lunar_phase_day flow_diff_day temp_diff_day coho1_hatchery_perhour_day",1,1,0,1,1,1,1,-2221.8,4529.57,42,48,TRUE,23.44,0,0,1
"gradient51"," flow_day flow_diff_day coho1_hatchery_perhour_day",0,0,1,0,1,0,1,-2225.3,4530.31,39,52,TRUE,24.18,0,0,1
"gradient92"," flow_day flow_diff_day temp_diff_day coho1_hatchery_perhour_day",0,0,1,0,1,1,1,-2224.37,4530.53,40,46,TRUE,24.4,0,0,1
"gradient90"," flow_day lunar_phase_day flow_diff_day coho1_hatchery_perhour_day",0,0,1,1,1,0,1,-2225.15,4532.09,40,42,TRUE,25.96,0,0,1
"gradient34"," atu_day photoperiod_day flow_diff_day",1,1,0,0,1,0,0,-2227.31,4532.24,38,39,TRUE,26.11,0,0,1
"gradient117"," flow_day lunar_phase_day flow_diff_day temp_diff_day coho1_hatchery_perhour_day",0,0,1,1,1,1,1,-2224.23,4532.33,41,42,TRUE,26.2,0,0,1
"gradient86"," flow_day photoperiod_day flow_diff_day temp_diff_day",0,1,1,0,1,1,0,-2226.52,4532.75,39,51,TRUE,26.62,0,0,1
"gradient76"," atu_day photoperiod_day flow_diff_day temp_diff_day",1,1,0,0,1,1,0,-2226.53,4532.77,39,39,TRUE,26.64,0,0,1
"gradient44"," flow_day photoperiod_day flow_diff_day",0,1,1,0,1,0,0,-2227.79,4533.19,38,40,TRUE,27.06,0,0,1
"gradient73"," atu_day photoperiod_day lunar_phase_day flow_diff_day",1,1,0,1,1,0,0,-2227.21,4534.12,39,49,TRUE,27.99,0,0,1
"gradient108"," atu_day photoperiod_day lunar_phase_day flow_diff_day temp_diff_day",1,1,0,1,1,1,0,-2226.44,4534.67,40,51,TRUE,28.54,0,0,1
"gradient113"," flow_day photoperiod_day lunar_phase_day flow_diff_day temp_diff_day",0,1,1,1,1,1,0,-2226.48,4534.74,40,47,TRUE,28.61,0,0,1
"gradient83"," flow_day photoperiod_day lunar_phase_day flow_diff_day",0,1,1,1,1,0,0,-2227.74,4535.17,39,33,TRUE,29.04,0,0,1
"gradient82"," atu_day flow_diff_day temp_diff_day coho1_hatchery_perhour_day",1,0,0,0,1,1,1,-2226.8,4535.38,40,44,TRUE,29.25,0,0,1
"gradient41"," atu_day flow_diff_day coho1_hatchery_perhour_day",1,0,0,0,1,0,1,-2228.47,4536.64,39,46,TRUE,30.51,0,0,1
"gradient112"," atu_day lunar_phase_day flow_diff_day temp_diff_day coho1_hatchery_perhour_day",1,0,0,1,1,1,1,-2226.71,4537.3,41,61,TRUE,31.17,0,0,1
"gradient80"," atu_day lunar_phase_day flow_diff_day coho1_hatchery_perhour_day",1,0,0,1,1,0,1,-2228.38,4538.55,40,42,TRUE,32.42,0,0,1
"gradient40"," atu_day flow_diff_day temp_diff_day",1,0,0,0,1,1,0,-2231.48,4540.57,38,45,TRUE,34.44,0,0,1
"gradient10"," atu_day flow_diff_day",1,0,0,0,1,0,0,-2233.08,4541.69,37,38,TRUE,35.56,0,0,1
"gradient79"," atu_day lunar_phase_day flow_diff_day temp_diff_day",1,0,0,1,1,1,0,-2231.43,4542.56,39,48,TRUE,36.43,0,0,1
